"","char","Aaras","Ankit","Anuj","Chirag","Elina","Mihir","Nakul","Reena","Ruchi","Shrinidhi"
"1"," ",21924,8172,7602,18828,1332,10518,25653,22305,5514,21246
"2","-",162,51,33,147,3,21,90,36,60,99
"3",",",1128,459,399,939,57,678,1206,1290,255,1356
"4",";",12,0,0,60,0,0,27,9,0,39
"5",":",39,0,12,54,3,21,117,60,3,72
"6","!",15,3,6,12,0,6,3,87,9,93
"7","?",99,24,27,75,9,12,42,15,6,108
"8",".",1233,333,369,1011,69,528,1227,1083,294,927
"9","…",3,3,0,27,3,0,3,117,18,15
"10","‘",498,216,180,471,42,108,66,567,120,555
"11","“",186,51,18,96,114,36,138,234,48,138
"12","(",240,48,18,186,0,78,174,237,66,159
"13","*",45,6,9,78,21,12,138,36,0,39
"14","/",24,9,6,45,6,18,36,33,6,0
"15","~",6,0,0,15,0,0,0,0,0,0
"16","0",257,68,109,509,33,88,473,112,18,124
"17","a",91641,33360,31215,84309,5568,45882,107895,88347,23151,93348
"18","A",2406,966,783,3015,429,1374,2931,3933,876,1995

