"","len","Aaras","Ankit","Anuj","Chirag","Elina","Mihir","Nakul","Reena","Ruchi","Shrinidhi"
"1",1,954,420,396,822,36,558,1410,1344,363,858
"2",2,4008,1365,1368,2853,234,1992,4062,4014,1041,3648
"3",3,4533,1647,1413,3417,225,1857,5238,4563,909,3951
"4",4,4359,1728,1563,3078,219,1701,4932,4311,1074,3948
"5",5,2367,870,852,2112,132,990,2826,2787,582,2610
"6",6,1725,777,651,1623,144,915,2184,1803,489,1575
"7",7,1389,480,570,1548,111,858,1671,1695,351,1533
"8",8,951,354,300,975,78,588,1206,765,261,1122
"9",9,579,183,192,792,33,432,597,447,144,669
"10",10,435,117,123,534,36,234,561,258,120,570
"11",11,192,42,33,288,12,168,267,126,63,261
"12",12,120,36,18,144,9,66,156,39,51,150
"13",13,72,15,15,90,6,15,84,33,18,63
"14",14,24,12,3,24,3,9,21,15,6,9
"15",15,6,3,3,18,0,0,3,6,0,0
"16",16,0,0,0,0,0,0,3,0,0,0
"17",17,3,0,0,6,0,0,0,3,3,0
"18",19,0,0,0,3,0,0,0,0,0,0

